datetime,portfolio_value,cash,return
2023-06-01 00:00:00-04:00,100000.0,100000.0,
2023-06-02 00:00:00-04:00,100035.52142846488,74626.79192087952,0.0003552142846487971
2023-06-03 00:00:00-04:00,99451.75934510046,117984.34495158758,-0.005835547963648713
2023-06-04 00:00:00-04:00,99558.70523963477,147677.85696404433,0.001075354475763568
2023-06-05 00:00:00-04:00,97810.03782697486,62798.82812067332,-0.017564183950071643
2023-06-06 00:00:00-04:00,97872.31914963385,97872.31914963385,0.0006367579856085825
2023-06-07 00:00:00-04:00,97872.31914963385,97872.31914963385,0.0
2023-06-08 00:00:00-04:00,97872.31914963385,97872.31914963385,0.0
2023-06-09 00:00:00-04:00,97872.31914963385,97872.31914963385,0.0
2023-06-10 00:00:00-04:00,97872.31914963385,97872.31914963385,0.0
2023-06-11 00:00:00-04:00,98397.72362489556,122939.6307390387,0.005368264283780011
2023-06-12 00:00:00-04:00,98356.85726362909,153582.08122146077,-0.00041531815738193867
2023-06-13 00:00:00-04:00,98291.31992034233,192013.61844814636,-0.0006663220553204674
2023-06-14 00:00:00-04:00,102660.56509425395,239965.00821920496,0.04445199410744061
2023-06-15 00:00:00-04:00,100183.7850710797,239965.00821920496,-0.02412591457002289
2023-06-16 00:00:00-04:00,93295.11021897005,298893.5113186504,-0.06876037721296113
2023-06-17 00:00:00-04:00,91820.46910178661,298893.5113186504,-0.01580619942162398
2023-06-18 00:00:00-04:00,93170.74981663813,373084.7572774389,0.014705661254623692
2023-06-19 00:00:00-04:00,87799.86850908789,373084.7572774389,-0.05764557351014388
2023-06-20 00:00:00-04:00,68734.17779457959,401609.17322230234,-0.21714942218318778
2023-06-21 00:00:00-04:00,76532.86970678048,76532.86970678048,0.11346163091538264
2023-06-22 00:00:00-04:00,77547.96625150432,58473.43967581132,0.013263536943184828
2023-06-23 00:00:00-04:00,78050.47476600844,58473.43967581132,0.0064799702531770365
2023-06-24 00:00:00-04:00,78263.74683844586,44230.260049684846,0.00273248911139623
2023-06-25 00:00:00-04:00,78070.74225391427,33120.09065135078,-0.0024660790254521503
2023-06-26 00:00:00-04:00,77724.76850211262,24814.20592011175,-0.004431541725021804
